Height	Sequence_ID
0.017744	ancestral_65
0.043611	ancestral_66
0.06942799999999999	ancestral_67
0.10016399999999999	ancestral_68
0.14629999999999999	ancestral_69
0.28390099999999996	tr|K9VMW1|K9VMW1_9CYAN
0.21229199999999998	tr|A0A1C0VNA1|A0A1C0VNA1_9CYAN
0.179968	ancestral_70
0.194823	ancestral_71
0.217452	tr|A0A1J1L9B7|A0A1J1L9B7_PLARU
0.194824	tr|A0A1T4ZGA7|A0A1T4ZGA7_9CYAN
0.195314	ancestral_72
0.213548	tr|A0A1J5GKR7|A0A1J5GKR7_9CYAN
0.213861	tr|A0A3C1RNP4|A0A3C1RNP4_9CYAN
0.11782199999999998	ancestral_73
0.138258	ancestral_74
0.20589999999999997	ancestral_75
0.20917999999999998	tr|A0YIJ7|A0YIJ7_LYNSP
0.22074399999999997	tr|U7QNU3|U7QNU3_9CYAN
0.17707799999999999	tr|A0A0F5Y8Z8|A0A0F5Y8Z8_9CYAN
0.162128	ancestral_76
0.35694899999999996	tr|A0A261KL51|A0A261KL51_9CYAN
0.25294099999999997	tr|A0A0M1JRP9|A0A0M1JRP9_9CYAN
0.187562	ancestral_77
0.201965	tr|A0A6H2ALR5|A0A6H2ALR5_LIMFS
0.191919	tr|D4ZR96|D4ZR96_ARTPN
0.151808	ancestral_78
0.161198	tr|A0A351L0M2|A0A351L0M2_9CYAN
0.151809	tr|A0A350X9Y3|A0A350X9Y3_9CYAN
0.007816	ancestral_79
0.014244	ancestral_80
0.173089	tr|A0A2T1EIJ3|A0A2T1EIJ3_9CHRO
0.028319	ancestral_81
0.06014800000000001	ancestral_82
0.27361800000000003	tr|A0A372DRQ8|A0A372DRQ8_9CYAN
0.14064900000000002	tr|A0A1Z4LUV2|A0A1Z4LUV2_9CYAN
0.043645	ancestral_83
0.161146	tr|A0A1E5QDG0|A0A1E5QDG0_9CYAN
0.129367	tr|A0A1Q8ZFL7|A0A1Q8ZFL7_9CYAN
0.032348	ancestral_84
0.055482000000000004	ancestral_85
0.087901000000000007	ancestral_86
0.18264200000000003	tr|A0A563VT89|A0A563VT89_9CYAN
0.11842000000000001	ancestral_87
0.17980600000000002	tr|L8M9S8|L8M9S8_9CYAN
0.229684	tr|A0A3M1L1C0|A0A3M1L1C0_9CYAN
0.135414	tr|A0A140KBG3|A0A140KBG3_9CYAN
0.037873000000000004	ancestral_88
0.053397	ancestral_89
0.078044	ancestral_90
0.10699900000000001	ancestral_91
0.22979500000000003	tr|A0A1L9QVW6|A0A1L9QVW6_9CYAN
0.11721200000000001	ancestral_92
